Parameter,Vent-Instrument,Start Time,Stop Time,Port,Lat,Lon,Depth,T,pH25_C,Alkalinity,H2S,Si,Ammonia,Chloride,Sulfate,Na,K,Mg,Ca,Bromide,Fe,Mn,Li,Sr,B,Rb,Cs,Sr,Ba,Co,Ni,Cu,Zn,Mo,Ag,Cd,Ti,Al,Pb,V,U,Y,Gd
Sample,Mrkr151-RASFL,3/20/14 0:00,3/20/14 0:03,28,45.926213,-129.978992,-1520,106.9,3.8,-0.12,3.5,19,549,549,1.37,446,15.3,2.6,41.8,874,316,364,562,141,519,8.66,112,107.9,175.2,114.9,108.9,160.1,128.8,183.8,139.1,158.8,163.9,147.1,195.1,195.3,188.7,172.3,161.4
Sample,Mrkr151-RASFL,3/27/14 0:00,3/27/14 0:03,29,45.926213,-129.978992,-1520,106.5,4,-0.14,5,18,533,533,0.89,425,15.2,1.5,44.8,836,291,344,574,144,593,8.61,110,134.2,140,137,147.7,118.1,172.9,117.7,182.6,121.8,176.9,140.4,163.6,165.3,132,141.1,101.8
Sample,Mrkr151-RASFL,4/3/14 0:00,4/3/14 0:03,30,45.926213,-129.978992,-1520,102.9,6.9,-0.3,5,19.4,528,528,1.32,428,14.2,2.2,41.2,837,273,379,543,135,482,8.23,106,124.8,186.3,181.1,112.3,162.9,106,145.7,126.4,105.7,121.2,178.4,199.4,126.7,116.3,185.2,158.1
Sample,Mrkr151-RASFL,4/10/14 0:00,4/10/14 0:03,31,45.926213,-129.978992,-1520,100.4,3.9,-0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,174.4,159.9,160.1,110.1,126.1,129.9,106.8,148.7,167,114.4,126.9,186,163.1,154.4,106.5,156.2
Sample,Mrkr151-RASFL,4/17/14 0:00,4/17/14 0:03,32,45.926213,-129.978992,-1520,101.9,6.6,-0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.7,130.9,183,174.2,111.9,150.6,186.7,156.2,126,149.5,162.6,109.5,159,141.8,123.2,115.7
Sample,Mrkr151-RASFL,4/24/14 0:00,4/24/14 0:03,33,45.926213,-129.978992,-1520,99.9,3.8,-0.15,3.3,15.6,535,535,2.08,433,22.9,4,36.6,825,238,430,587,109,628,NaN,NaN,143.3,199.1,184.5,113.2,107.9,177.2,102.2,105.2,160.1,130.2,182.8,117.9,122.6,114.1,118.9,179
Sample,Mrkr151-RASFL,5/1/14 0:00,5/1/14 0:03,34,45.926213,-129.978992,-1520,108.7,6.5,-0.16,3.4,15.8,534,534,0.92,428,24.6,2.3,37.9,827,250,436,632,117,774,19.6,369,199.3,171.8,171.6,166.9,126.3,185.6,112.6,128.4,154.7,165.8,141.8,159.8,108.2,117.9,195.3,172.8
Sample,Mrkr151-RASFL,5/8/14 0:00,5/8/14 0:03,35,45.926213,-129.978992,-1520,96.2,6.8,1.65,0.34,2.8,535,535,23.6,452,12.5,44.6,15.1,857,41,76,118,95,458,4.23,58,183.8,150.7,114.9,132.8,146.8,168.8,164.6,191.4,170.5,182.9,167.5,174.3,175.4,118.8,151,183.4
Sample,Mrkr151-RASFL,5/15/14 0:00,5/15/14 0:03,36,45.926213,-129.978992,-1520,104.9,3.9,-0.23,2.6,16.4,533,533,1.53,430,23.2,2.9,37.5,846,249,449,597,110,639,18.8,366,181,166.2,145.8,174.4,104.9,150.1,168.9,161.1,151.2,164.4,145.1,130.8,170.7,197.8,194.3,138.9
Sample,Mrkr151-RASFL,5/22/14 0:00,5/22/14 0:03,37,45.926213,-129.978992,-1520,106.7,6.4,-0.14,3.2,16.7,540,540,1.59,435,24.3,2.5,38,896,261,453,630,116,688,19.5,380,163.2,175.1,191.6,181.9,174.3,109.8,121.5,102.2,134.3,172.8,188.1,171.2,123.4,115.4,115.9,192.3
Sample,Mrkr151-RASFL,5/29/14 0:00,5/29/14 0:03,38,45.926213,-129.978992,-1520,93,6.7,2.1,0.0041,0.644,535,535,26.88,456,11.1,51,10.9,824,7,15,41,94,431,1.87,11.8,161.6,149,170.4,168,169.6,186.9,125.4,137.6,187.4,133.2,172.3,170.8,119.7,148.5,155.5,151.4
Sample,Mrkr151-RASFL,6/5/14 0:00,6/5/14 0:03,39,45.926213,-129.978992,-1520,96.4,5.3,2.15,0.0069,0.245,535,535,27.11,456,10.6,51.7,10.9,829,14,23,36,92,433,1.7,9.53,194.8,112.6,155.5,192.1,126.7,122.3,180.9,149.6,197.5,181.9,164,171.3,143.4,144.8,138.4,157
Sample,Mrkr151-RASFL,6/12/14 0:00,6/12/14 0:03,40,45.926213,-129.978992,-1520,103.1,5.7,-0.12,3,15.3,583,583,1.33,465,27.6,2.5,43,934,153,258,639,140,798,22.8,402,153.7,169.1,134.8,108.2,122.4,179,158.3,101.5,127.7,119.1,126.3,100.6,151.7,192,139.3,193
Sample,Mrkr151-RASFL,6/19/14 0:00,6/19/14 0:03,41,45.926213,-129.978992,-1520,98.8,5.5,0.13,1.8,12.7,576,576,6.31,467,25.7,9.7,37.6,915,124,224,552,134,759,18.3,337,176,120.3,138.2,104.1,179.4,138.1,127.5,115.4,145,102.3,158.5,145.5,115.8,110.5,157.5,110.8
Sample,Mrkr151-RASFL,6/26/14 0:00,6/26/14 0:03,42,45.926213,-129.978992,-1520,97,5.8,-0.09,2.9,15.1,549,549,1.03,439,26.8,1.7,39.6,863,163,276,665,127,882,21.5,386,125.3,147.9,195.4,185.1,196.5,176.8,116.4,115.1,121.2,155,139.4,157.6,106.5,172.2,196,146.4
Sample,Mrkr151-RASFL,7/3/14 0:00,7/3/14 0:03,43,45.926213,-129.978992,-1520,94.3,6.3,0.08,2.9,15.1,550,550,2.1,441,26.8,4.1,38,842,134,271,650,126,829,20.9,370,190.4,159.7,134.1,106.5,128.2,197.3,173.5,126.6,119.6,133,133.2,128.7,122.3,132.7,167.6,101
Sample,Mrkr151-RASFL,7/10/14 0:00,7/10/14 0:03,44,45.926213,-129.978992,-1520,90.4,4.9,2.11,0.8,0.742,538,538,27.1,462,10.3,49.5,11.2,833,5,12,43,89,430,1.98,14.6,115.2,151.4,121.2,186.4,152.5,192.9,199.6,172.5,102.9,162.9,154.1,174.1,171.4,150.9,154,164.7
Sample,Mrkr151-RASFL,7/17/14 0:00,7/17/14 0:03,45,45.926213,-129.978992,-1520,109.1,6.8,1.34,0.6,5.01,541,541,18.8,456,15.3,34.7,19.3,873,31,101,221,101,570,7.69,122,116.9,125.9,109.5,185.1,149,165.3,119.2,141.8,102,104.5,162.6,121,132.7,165.2,144.7,102.9
Sample,Mrkr151-RASFL,7/24/14 0:00,7/24/14 0:03,46,45.926213,-129.978992,-1520,92,4.9,-0.16,2.8,15,552,552,1.13,447,25.3,1.9,38.3,867,151,290,636,119,656,22.4,396,104.4,176,193.6,129.1,165.3,149.6,175.3,107.3,134.3,134.4,104.3,157.9,165,146.7,184.7,141.3
Sample,Mrkr151-RASFL,7/31/14 0:00,7/31/14 0:03,47,45.926213,-129.978992,-1520,107.4,4.3,0.02,2.1,13.9,590,590,3.34,476,24.9,7.1,39.9,903,113,258,565,128,615,19.7,370,186.8,154.4,117.9,130,180.6,125.6,132.6,131.1,143.9,179.7,193.1,124.4,138.1,117.3,148,193.8
